[2025-11-04 14:10:12][INFO] - This log is also available at '/scratch/tisi/cartospeed/head_finetuning/2/outputs/2025-11-04/14-10-12/train.log'.
[2025-11-04 14:10:12][INFO] - Package version: 2025.10
[2025-11-04 14:21:45][INFO] - Epoch:   23 | learning rate: 1.000e-05 | training loss: 2.775e+00 | training energy RMSE (per atom):   9.80 meV | training energy MAE (per atom):   7.24 meV | training forces RMSE: 116.10 meV/A | training forces MAE: 63.909 meV/A | validation loss: 1.444e+00 | validation energy RMSE (per atom):  22.38 meV | validation energy MAE (per atom):   9.65 meV | validation forces RMSE: 432.59 meV/A | validation forces MAE: 69.614 meV/A
[2025-11-04 14:22:13][INFO] - Epoch:   24 | learning rate: 1.000e-05 | training loss: 2.850e+00 | training energy RMSE (per atom):   9.88 meV | training energy MAE (per atom):   7.31 meV | training forces RMSE: 115.76 meV/A | training forces MAE: 63.730 meV/A | validation loss: 1.443e+00 | validation energy RMSE (per atom):  22.37 meV | validation energy MAE (per atom):   8.79 meV | validation forces RMSE: 432.44 meV/A | validation forces MAE: 69.530 meV/A
[2025-11-04 14:22:40][INFO] - Epoch:   25 | learning rate: 1.000e-05 | training loss: 2.776e+00 | training energy RMSE (per atom):   9.89 meV | training energy MAE (per atom):   7.28 meV | training forces RMSE: 115.37 meV/A | training forces MAE: 63.492 meV/A | validation loss: 1.441e+00 | validation energy RMSE (per atom):  22.43 meV | validation energy MAE (per atom):   8.96 meV | validation forces RMSE: 432.19 meV/A | validation forces MAE: 69.279 meV/A
[2025-11-04 14:23:08][INFO] - Epoch:   26 | learning rate: 1.000e-05 | training loss: 2.758e+00 | training energy RMSE (per atom):   9.88 meV | training energy MAE (per atom):   7.30 meV | training forces RMSE: 115.05 meV/A | training forces MAE: 63.304 meV/A | validation loss: 1.441e+00 | validation energy RMSE (per atom):  22.78 meV | validation energy MAE (per atom):   8.37 meV | validation forces RMSE: 432.19 meV/A | validation forces MAE: 69.229 meV/A
[2025-11-04 14:23:35][INFO] - Epoch:   27 | learning rate: 1.000e-05 | training loss: 2.806e+00 | training energy RMSE (per atom):   9.78 meV | training energy MAE (per atom):   7.25 meV | training forces RMSE: 114.75 meV/A | training forces MAE: 63.244 meV/A | validation loss: 1.440e+00 | validation energy RMSE (per atom):  23.15 meV | validation energy MAE (per atom):   8.73 meV | validation forces RMSE: 432.10 meV/A | validation forces MAE: 69.043 meV/A
[2025-11-04 14:24:03][INFO] - Epoch:   28 | learning rate: 1.000e-05 | training loss: 2.765e+00 | training energy RMSE (per atom):   9.81 meV | training energy MAE (per atom):   7.22 meV | training forces RMSE: 114.44 meV/A | training forces MAE: 63.071 meV/A | validation loss: 1.439e+00 | validation energy RMSE (per atom):  22.32 meV | validation energy MAE (per atom):   9.56 meV | validation forces RMSE: 432.07 meV/A | validation forces MAE: 68.945 meV/A
[2025-11-04 14:24:30][INFO] - Epoch:   29 | learning rate: 1.000e-05 | training loss: 2.741e+00 | training energy RMSE (per atom):   9.65 meV | training energy MAE (per atom):   7.08 meV | training forces RMSE: 114.20 meV/A | training forces MAE: 62.940 meV/A | validation loss: 1.436e+00 | validation energy RMSE (per atom):  22.44 meV | validation energy MAE (per atom):   8.87 meV | validation forces RMSE: 431.59 meV/A | validation forces MAE: 68.781 meV/A
[2025-11-04 14:24:58][INFO] - Epoch:   30 | learning rate: 1.000e-05 | training loss: 2.752e+00 | training energy RMSE (per atom):   9.78 meV | training energy MAE (per atom):   7.21 meV | training forces RMSE: 113.87 meV/A | training forces MAE: 62.785 meV/A | validation loss: 1.437e+00 | validation energy RMSE (per atom):  22.32 meV | validation energy MAE (per atom):   8.63 meV | validation forces RMSE: 431.69 meV/A | validation forces MAE: 68.677 meV/A
[2025-11-04 14:25:25][INFO] - Epoch:   31 | learning rate: 1.000e-05 | training loss: 2.706e+00 | training energy RMSE (per atom):   9.59 meV | training energy MAE (per atom):   6.98 meV | training forces RMSE: 113.61 meV/A | training forces MAE: 62.634 meV/A | validation loss: 1.435e+00 | validation energy RMSE (per atom):  23.12 meV | validation energy MAE (per atom):  12.04 meV | validation forces RMSE: 431.35 meV/A | validation forces MAE: 68.653 meV/A
[2025-11-04 14:25:53][INFO] - Epoch:   32 | learning rate: 1.000e-05 | training loss: 2.718e+00 | training energy RMSE (per atom):   9.84 meV | training energy MAE (per atom):   7.21 meV | training forces RMSE: 113.30 meV/A | training forces MAE: 62.507 meV/A | validation loss: 1.436e+00 | validation energy RMSE (per atom):  22.98 meV | validation energy MAE (per atom):   8.38 meV | validation forces RMSE: 431.59 meV/A | validation forces MAE: 68.604 meV/A
