[2025-10-10 17:46:11][INFO] - This log is also available at '/scratch/tisi/cartospeed/transfer_learning/only_heads/outputs/2025-10-10/17-46-11/train.log'.
[2025-10-10 17:46:11][INFO] - Package version: 2025.10
[2025-10-10 17:46:11][INFO] - Package directory: /home/tisi/miniforge3/envs/cartospeed_2025_9/lib/python3.13/site-packages/metatrain
[2025-10-10 17:46:11][INFO] - Working directory: /scratch/tisi/cartospeed/transfer_learning/only_heads
[2025-10-10 17:46:11][INFO] - Executed command: mtt train options-c.yaml
[2025-10-10 17:46:11][INFO] - Running training for 'pet' architecture
[2025-10-10 17:46:12][INFO] - Random seed of this run is 22
[2025-10-10 17:46:12][INFO] - Setting up training set
[2025-10-10 17:56:19][INFO] - Epoch:   20 | learning rate: 1.000e-05 | training loss: 1.317e+01 | training mtt::LPS RMSE (per atom):   15.1 meV | training mtt::LPS MAE (per atom):   10.3 meV | training forces[mtt::LPS] RMSE:  246.6 meV/A | training forces[mtt::LPS] MAE:  140.0 meV/A | validation loss: 5.881e-01 | validation mtt::LPS RMSE (per atom):   16.7 meV | validation mtt::LPS MAE (per atom):    9.0 meV | validation forces[mtt::LPS] RMSE:  238.3 meV/A | validation forces[mtt::LPS] MAE:  134.0 meV/A
[2025-10-10 17:56:47][INFO] - Epoch:   21 | learning rate: 1.000e-05 | training loss: 1.225e+01 | training mtt::LPS RMSE (per atom):   14.5 meV | training mtt::LPS MAE (per atom):    9.8 meV | training forces[mtt::LPS] RMSE:  239.3 meV/A | training forces[mtt::LPS] MAE:  135.7 meV/A | validation loss: 5.537e-01 | validation mtt::LPS RMSE (per atom):   16.2 meV | validation mtt::LPS MAE (per atom):    9.1 meV | validation forces[mtt::LPS] RMSE:  231.2 meV/A | validation forces[mtt::LPS] MAE:  130.5 meV/A
[2025-10-10 17:57:15][INFO] - Epoch:   22 | learning rate: 1.000e-05 | training loss: 1.168e+01 | training mtt::LPS RMSE (per atom):   14.2 meV | training mtt::LPS MAE (per atom):    9.5 meV | training forces[mtt::LPS] RMSE:  232.7 meV/A | training forces[mtt::LPS] MAE:  132.0 meV/A | validation loss: 5.235e-01 | validation mtt::LPS RMSE (per atom):   16.3 meV | validation mtt::LPS MAE (per atom):    8.9 meV | validation forces[mtt::LPS] RMSE:  224.6 meV/A | validation forces[mtt::LPS] MAE:  126.9 meV/A
[2025-10-10 17:57:43][INFO] - Epoch:   23 | learning rate: 1.000e-05 | training loss: 1.101e+01 | training mtt::LPS RMSE (per atom):   14.0 meV | training mtt::LPS MAE (per atom):    9.6 meV | training forces[mtt::LPS] RMSE:  226.5 meV/A | training forces[mtt::LPS] MAE:  128.4 meV/A | validation loss: 4.949e-01 | validation mtt::LPS RMSE (per atom):   16.9 meV | validation mtt::LPS MAE (per atom):   10.4 meV | validation forces[mtt::LPS] RMSE:  218.4 meV/A | validation forces[mtt::LPS] MAE:  123.4 meV/A
[2025-10-10 17:58:11][INFO] - Epoch:   24 | learning rate: 1.000e-05 | training loss: 1.045e+01 | training mtt::LPS RMSE (per atom):   13.7 meV | training mtt::LPS MAE (per atom):    9.4 meV | training forces[mtt::LPS] RMSE:  220.6 meV/A | training forces[mtt::LPS] MAE:  124.9 meV/A | validation loss: 4.708e-01 | validation mtt::LPS RMSE (per atom):   16.7 meV | validation mtt::LPS MAE (per atom):    8.8 meV | validation forces[mtt::LPS] RMSE:  212.9 meV/A | validation forces[mtt::LPS] MAE:  120.8 meV/A
[2025-10-10 17:58:39][INFO] - Epoch:   25 | learning rate: 1.000e-05 | training loss: 9.962e+00 | training mtt::LPS RMSE (per atom):   13.6 meV | training mtt::LPS MAE (per atom):    9.5 meV | training forces[mtt::LPS] RMSE:  215.1 meV/A | training forces[mtt::LPS] MAE:  122.0 meV/A | validation loss: 4.465e-01 | validation mtt::LPS RMSE (per atom):   16.5 meV | validation mtt::LPS MAE (per atom):    8.6 meV | validation forces[mtt::LPS] RMSE:  207.2 meV/A | validation forces[mtt::LPS] MAE:  117.1 meV/A
[2025-10-10 17:59:07][INFO] - Epoch:   26 | learning rate: 1.000e-05 | training loss: 9.404e+00 | training mtt::LPS RMSE (per atom):   13.2 meV | training mtt::LPS MAE (per atom):    9.1 meV | training forces[mtt::LPS] RMSE:  210.1 meV/A | training forces[mtt::LPS] MAE:  119.0 meV/A | validation loss: 4.249e-01 | validation mtt::LPS RMSE (per atom):   16.3 meV | validation mtt::LPS MAE (per atom):    8.8 meV | validation forces[mtt::LPS] RMSE:  202.1 meV/A | validation forces[mtt::LPS] MAE:  114.4 meV/A
[2025-10-10 17:59:35][INFO] - Epoch:   27 | learning rate: 1.000e-05 | training loss: 8.927e+00 | training mtt::LPS RMSE (per atom):   13.2 meV | training mtt::LPS MAE (per atom):    9.3 meV | training forces[mtt::LPS] RMSE:  205.0 meV/A | training forces[mtt::LPS] MAE:  115.9 meV/A | validation loss: 4.069e-01 | validation mtt::LPS RMSE (per atom):   17.1 meV | validation mtt::LPS MAE (per atom):    9.2 meV | validation forces[mtt::LPS] RMSE:  197.4 meV/A | validation forces[mtt::LPS] MAE:  112.2 meV/A
[2025-10-10 18:00:03][INFO] - Epoch:   28 | learning rate: 1.000e-05 | training loss: 8.656e+00 | training mtt::LPS RMSE (per atom):   13.2 meV | training mtt::LPS MAE (per atom):    9.5 meV | training forces[mtt::LPS] RMSE:  200.5 meV/A | training forces[mtt::LPS] MAE:  113.5 meV/A | validation loss: 3.878e-01 | validation mtt::LPS RMSE (per atom):   16.9 meV | validation mtt::LPS MAE (per atom):    9.8 meV | validation forces[mtt::LPS] RMSE:  192.7 meV/A | validation forces[mtt::LPS] MAE:  109.6 meV/A
[2025-10-10 18:00:30][INFO] - Epoch:   29 | learning rate: 1.000e-05 | training loss: 8.288e+00 | training mtt::LPS RMSE (per atom):   13.0 meV | training mtt::LPS MAE (per atom):    9.4 meV | training forces[mtt::LPS] RMSE:  196.1 meV/A | training forces[mtt::LPS] MAE:  111.0 meV/A | validation loss: 3.710e-01 | validation mtt::LPS RMSE (per atom):   16.4 meV | validation mtt::LPS MAE (per atom):    9.2 meV | validation forces[mtt::LPS] RMSE:  188.4 meV/A | validation forces[mtt::LPS] MAE:  107.3 meV/A
